filename;best_size;len_sequences;efficiency;time
data/55.400+160;343;560;61.25000000000001;94.575582
data/10.500+50;365;550;66.36363636363637;22.249913
data/9.200-40;131;160;81.875;1.402877
data/113.500-8;383;492;77.84552845528455;1.530159
data/62.400-80;227;320;70.9375;11.652945
data/20.300+30;265;330;80.3030303030303;3.628355
data/9.200+20;183;220;83.18181818181817;1.119255
data/25.500+200;472;700;67.42857142857143;236.987107
data/55.300-120;138;180;76.66666666666667;3.59818
data/18.200+20;169;220;76.81818181818181;0.879651
data/55.400-80;238;320;74.375;11.825634
data/68.400+160;367;560;65.53571428571429;119.402807
data/10.500-200;150;300;50.0;34.493652
data/68.400-80;237;320;74.0625;15.504063
data/55.300-60;174;240;72.5;4.606855
data/35.200+20;180;220;81.81818181818183;1.127909
data/62.400+40;284;440;64.54545454545455;10.085838
data/53.500+200;446;700;63.714285714285715;214.203057
data/25.500+50;435;550;79.0909090909091;18.135458
data/62.400+160;266;560;47.5;87.150755
data/18.200-40;97;160;60.62499999999999;1.063443
data/20.300+120;262;420;62.38095238095238;37.083609
data/58.300+120;275;420;65.47619047619048;34.519126
data/58.300-60;213;240;88.75;5.134106
data/55.300+120;288;420;68.57142857142857;35.621002
data/55.400+40;286;440;65.0;9.69824
data/35.200+80;178;280;63.57142857142857;6.310832
data/35.200-80;82;120;68.33333333333333;0.992052
data/55.300+30;263;330;79.6969696969697;4.024069
data/18.200+80;173;280;61.78571428571429;7.774453
data/58.300-120;142;180;78.88888888888889;3.404696
data/58.300+30;227;330;68.78787878787878;3.083286
data/68.400-160;145;240;60.416666666666664;10.8616
data/53.500-200;204;300;68.0;23.559963
data/28.500-18;300;482;62.24066390041494;1.6393
data/25.500-100;237;400;59.25;28.2612
data/25.500-200;208;300;69.33333333333334;20.02027
data/10.500-100;281;400;70.25;25.175216
data/35.200-40;135;160;84.375;1.23028
data/55.400-160;143;240;59.583333333333336;8.472854
data/59.500-2;49;498;9.839357429718875;1.243785
data/144.500-12;28;488;5.737704918032787;1.894676
data/10.500+200;414;700;59.14285714285714;222.712875
data/62.400-160;131;240;54.58333333333333;6.054684
data/20.300-60;187;240;77.91666666666667;4.275643
data/18.200-80;81;120;67.5;1.012515
data/20.300-120;136;180;75.55555555555556;3.319469
